ext__A2RU49	ext__A2RU49	100.000	373	3.216E-249	752
ext__Q32P41	ext__Q32P41	100.000	509	0.000E+00	1032
ext__A2RUC4	ext__A2RUC4	100.000	315	4.786E-216	653
ext__Q3SY77	ext__Q3SY77	100.000	523	0.000E+00	1082
ext__Q3SY77	ext__Q6NUS8	78.800	523	6.945E-283	858
ext__A5PLL7	ext__A5PLL7	100.000	270	1.962E-196	594
ext__Q68CQ7	ext__Q68CQ7	100.000	371	4.314E-253	763
ext__C9JRZ8	ext__C9JRZ8	100.000	316	2.362E-218	660
ext__Q6NSJ0	ext__Q6NSJ0	100.000	714	0.000E+00	1498
ext__O14756	ext__O14756	100.000	317	1.855E-215	651
ext__Q6NUS8	ext__Q6NUS8	100.000	523	0.000E+00	1069
ext__Q6NUS8	ext__Q3SY77	78.800	523	3.351E-282	856
ext__O15247	ext__O15247	100.000	247	1.290E-170	518
ext__Q6UX53	ext__Q6UX53	100.000	244	3.265E-168	511
ext__O15527	ext__O15527	100.000	345	9.335E-241	726
ext__Q8N0X4	ext__Q8N0X4	100.000	340	1.824E-220	667
ext__O43593	ext__O43593	100.000	1189	0.000E+00	2523
ext__Q969G6	ext__Q969G6	100.000	155	2.390E-106	327
ext__O60568	ext__O60568	100.000	738	0.000E+00	1579
ext__Q96I15	ext__Q96I15	100.000	445	1.753E-299	901
ext__O75151	ext__O75151	100.000	1096	0.000E+00	2136
ext__Q9BXD5	ext__Q9BXD5	100.000	320	3.738E-211	639
ext__O95050	ext__O95050	100.000	263	6.941E-183	554
ext__Q9BXS1	ext__Q9BXS1	100.000	227	2.253E-156	476
ext__Q9BXS1	ext__Q13907	64.700	227	2.001E-102	320
ext__P00568	ext__P00568	100.000	194	4.696E-127	389
ext__P00568	ext__P27144	29.300	193	8.947E-23	88
ext__P00568	ext__Q9UIJ7	31.700	182	7.854E-22	85
ext__Q9HBK9	ext__Q9HBK9	100.000	375	1.547E-260	785
ext__P04424	ext__P04424	100.000	464	6.456E-313	941
ext__Q9NZJ6	ext__Q9NZJ6	100.000	369	1.114E-253	765
ext__P06746	ext__P06746	100.000	335	2.341E-225	681
ext__Q9UIJ7	ext__Q9UIJ7	100.000	227	3.608E-151	461
ext__Q9UIJ7	ext__P27144	59.700	221	5.139E-89	282
ext__Q9UIJ7	ext__P00568	31.700	182	4.993E-21	84
ext__P27144	ext__P27144	100.000	223	1.159E-151	462
ext__P27144	ext__Q9UIJ7	59.700	221	8.912E-90	284
ext__P27144	ext__P00568	29.600	184	1.125E-22	89
ext__Q9Y5N5	ext__Q9Y5N5	100.000	214	1.944E-141	432
ext__P29372	ext__P29372	100.000	298	2.028E-199	604
ext__P30176	ext__P30176	100.000	160	3.335E-107	330
ext__P32189	ext__P32189	100.000	559	0.000E+00	1145
ext__P32189	ext__Q14410	87.400	559	0.000E+00	1017
ext__P33025	ext__P33025	100.000	312	1.107E-199	606
ext__P34949	ext__P34949	100.000	423	1.461E-285	860
ext__P35914	ext__P35914	100.000	325	4.179E-213	645
ext__P42126	ext__P42126	100.000	302	1.665E-195	593
ext__P42357	ext__P42357	100.000	657	0.000E+00	1328
ext__P46597	ext__P46597	100.000	345	3.068E-236	713
ext__P49247	ext__P49247	100.000	311	6.477E-208	629
ext__P51580	ext__P51580	100.000	245	7.556E-173	524
ext__P55263	ext__P55263	100.000	362	2.513E-242	732
ext__P60174	ext__P60174	100.000	249	6.236E-169	513
ext__Q13087	ext__Q13087	100.000	525	0.000E+00	1069
ext__Q13907	ext__Q13907	100.000	227	8.747E-157	477
ext__Q13907	ext__Q9BXS1	64.700	227	5.151E-102	319
ext__Q14410	ext__Q14410	100.000	553	0.000E+00	1136
ext__Q14410	ext__P32189	87.400	559	0.000E+00	1018
ext__Q14554	ext__Q14554	100.000	519	0.000E+00	1095
